cep_consultado,api,logradouro,complemento,bairro,localidade,uf,raw_json
01311920,ViaCEP,Avenida Paulista,1111,Bela Vista,São Paulo,SP,"{'cep': '01311-920', 'logradouro': 'Avenida Paulista', 'complemento': '1111', 'unidade': 'Citibank S.A.', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01259000,ViaCEP,Rua Havaí,,Sumaré,São Paulo,SP,"{'cep': '01259-000', 'logradouro': 'Rua Havaí', 'complemento': '', 'unidade': '', 'bairro': 'Sumaré', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01020000,ViaCEP,Rua Tabatinguera,lado par,Sé,São Paulo,SP,"{'cep': '01020-000', 'logradouro': 'Rua Tabatinguera', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Sé', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01244001,ViaCEP,Rua Bahia,lado ímpar,Higienópolis,São Paulo,SP,"{'cep': '01244-001', 'logradouro': 'Rua Bahia', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Higienópolis', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01103000,ViaCEP,Rua Vinte e Cinco de Janeiro,,Luz,São Paulo,SP,"{'cep': '01103-000', 'logradouro': 'Rua Vinte e Cinco de Janeiro', 'complemento': '', 'unidade': '', 'bairro': 'Luz', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01314000,ViaCEP,Rua Santo Antônio,até 799/800,Bela Vista,São Paulo,SP,"{'cep': '01314-000', 'logradouro': 'Rua Santo Antônio', 'complemento': 'até 799/800', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01210010,ViaCEP,Avenida Vieira de Carvalho,,República,São Paulo,SP,"{'cep': '01210-010', 'logradouro': 'Avenida Vieira de Carvalho', 'complemento': '', 'unidade': '', 'bairro': 'República', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01050070,ViaCEP,Rua Álvaro de Carvalho,,Centro,São Paulo,SP,"{'cep': '01050-070', 'logradouro': 'Rua Álvaro de Carvalho', 'complemento': '', 'unidade': '', 'bairro': 'Centro', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01221001,ViaCEP,Rua Amaral Gurgel,lado ímpar,Vila Buarque,São Paulo,SP,"{'cep': '01221-001', 'logradouro': 'Rua Amaral Gurgel', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Vila Buarque', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01240000,ViaCEP,Rua Maranhão,lado par,Higienópolis,São Paulo,SP,"{'cep': '01240-000', 'logradouro': 'Rua Maranhão', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Higienópolis', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
